name,website,province,type,url_about_us
Universidad de Almería,https://www.ual.es,Almería,Pública,https://www.ual.es/planestrategico
Universidad de Cádiz,https://www.uca.es,Cádiz,Pública,https://www.uca.es/historia/
Universidad de Córdoba,http://www.uco.es,Córdoba,Pública,https://www.uco.es/historia-y-video-promocional.html
Universidad Loyola Andalucía,https://www.uloyola.es,Córdoba,Privada,https://www.uloyola.es/universidad/quienes-somos/identidad-y-mision
Universidad de Granada,https://www.ugr.es,Granada,Pública,https://www.ugr.es/universidad/organizacion/saludo-rector
Universidad de Huelva,http://www.uhu.es,Huelva,Pública,https://www.uhu.es/la-uhu/historia
Universidad de Jaén,https://www.ujaen.es,Jaén,Pública,http://www.ujaen.es/la-universidad/mision-vision-y-valores-de-la-uja
Universidad de Málaga,http://www.uma.es,Málaga,Pública,https://www.uma.es/historiadigital/
Universidad Internacional de Andalucía,https://www.unia.es,Sevilla,Pública,https://www.unia.es/la-unia/historia-de-la-unia
Universidad Pablo de Olavide,http://www.upo.es,Sevilla,Pública,https://www.upo.es/portal/impe/web/contenido/99c84315-5665-11e2-bd3d-3fe5a96f4a88?channel=a3645af1-2f47-11de-b088-3fe5a96f4a88
Universidad de Sevilla,http://www.us.es,Sevilla,Pública,https://www.us.es/laUS/historia
Universidad San Jorge,https://www.usj.es,Zaragoza,Privada,https://www.usj.es/conocenos/mision-vision-valores
Universidad de Zaragoza,http://www.unizar.es,Zaragoza,Pública,https://www.unizar.es/institucion/conoce-la-universidad/cultura-y-valores
Universidad de Oviedo,http://www.uniovi.es,Oviedo,Pública,https://www.uniovi.es/conocenos/uniovi/historia
Universidad de Las Palmas de Gran Canaria,http://www.ulpgc.es,Las Palmas de Gran Canaria,Pública,https://www.ulpgc.es/presentacion
Universidad de La Laguna,https://www.ull.es,Tenerife,Pública,https://www.ull.es/la-universidad/historia-mision-vision-valores
Universidad de Cantabria,http://www.unican.es,Santander,Pública,https://web.unican.es/admision
Universidad Católica de Ávila,https://www.ucavila.es,Ávila,Privada,https://www.ucavila.es/universidad/saludo-rectora/
Universidad de Burgos,https://www.ubu.es,Burgos,Pública,https://www.ubu.es/acceso-admision-y-matricula/matricula/matricula-de-grado
Universidad de León,https://www.unileon.es,León,Pública,https://www.unileon.es/universidad/localizacion-e-historia/los-campus
Universidad Pontificia de Salamanca,https://www.upsa.es,Salamanca,Privada,https://www.upsa.es/admisiones
Universidad de Salamanca,https://www.usal.es,Salamanca,Pública,https://www.usal.es/historia
IE University,https://www.ie.edu,Segovia,Privada,https://www.ie.edu/university/about/study-in-madrid/
Universidad Europea Miguel de Cervantes,http://www.uemc.es,Valladolid,Privada,http://www.uemc.es/p/trabaja-con-nosotros-uemc
Universidad de Valladolid,http://www.uva.es,Valladolid,Pública,https://comunicacion.uva.es/es_ES/quienessomos.html
Universidad de Castilla-La Mancha,https://www.uclm.es,Ciudad Real,Pública,https://www.uclm.es/Misiones/LaUCLM/Comunicacion/Previsiones
Universitat Abat Oliba CEU,https://www.uaoceu.es/,Barcelona,Privada,https://admision.uaoceu.es/
Universitat Autònoma de Barcelona,https://www.uab.cat,Barcelona,Pública,https://www.uab.cat/web/agenda/detall-de-l-activitat/projeccio-del-documental-contraluz-historias-del-exilio-republicano-espanol-en-el-norte-de-africa-a-la-model-i-a-la-uab-1345828727816.html?detid=1345971044919
Universitat de Barcelona,http://www.ub.es,Barcelona,Pública,https://web.ub.edu/es/la-universidad
Universitat Internacional de Catalunya,http://www.unica.edu,Barcelona,Privada,
Universitat Oberta de Catalunya,http://www.uoc.es,Barcelona,Privada,https://www.uoc.edu/es/estudios/masters/master-universitario-historia-mundo-contemporaneo
Universitat Politècnica de Catalunya,http://www.upc.es,Barcelona,Pública,https://www.upc.edu/es/la-upc/la-institucion
Universitat Pompeu Fabra,http://www.upf.es,Barcelona,Pública,http://www.upf.es/web/masters/humanitats-i-historia
Universitat Ramon Llull,http://www.url.es,Barcelona,Privada,https://www.url.edu/es/la-url
Universitat de Vic,https://www.uvic.cat,Barcelona,Privada,https://www.uvic.cat/es/universitat/salutacio-del-rector
Universitat de Girona,http://www.udg.es,Girona,Pública,https://www.udg.edu/ca/coneix/la-udg/historia
Universitat de Lleida,http://www.udl.es,Lleida,Pública,https://www.udl.cat/ca/about/
Universitat Rovira i Virgili,http://www.urv.cat,Tarragona,Pública,https://www.urv.cat/ca/universitat/coneixeu/historia/
Universidad de Alcalá,https://www.uah.es/es/,Madrid,Pública,https://www.uah.es/es/conoce-la-uah/la-universidad/historia-mision-y-valores/
Universidad Alfonso X El Sabio,https://www.uax.es/,Madrid,Privada,https://www.uax.com/portal-de-transparencia/mision-y-valores
Universidad Antonio de Nebrija,https://www.nebrija.com,Madrid,Privada,https://www.nebrija.com/admision/
Universidad Autónoma de Madrid,http://www.uam.es,Madrid,Pública,https://www.uam.es/uam/organos-de-gobierno/consejo-gobierno/comisiones-independientes-consejo-gobierno/estatutos-reglamentacion-desarrollo-normativo/reforma-estatutos-uam
Universidad Camilo José Cela,http://www.ucjc.edu,Madrid,Privada,https://www.ucjc.edu/admision/
Universidad Carlos III de Madrid,http://www.uc3m.es,Madrid,Pública,https://www.uc3m.es/admision
Universidad CEU San Pablo,http://www.ceu.es,Madrid,Privada,https://www.ceu.es/ceu/mision-historia.php
Universidad Complutense de Madrid,http://www.ucm.es,Madrid,Pública,https://www.ucm.es/comision-de-investigacion
Universidad a Distancia de Madrid,http://www.udima.es,Madrid,Privada,https://www.udima.es/trabaja-con-nosotros
Universidad Europea de Madrid,https://universidadeuropea.com/,Madrid,Privada,https://universidadeuropea.com/conocenos/mision-vision-valores/
Universidad Francisco de Vitoria,http://www.ufv.es,Madrid,Privada,https://www.ufv.es/jornada-admisiones/procesos-de-admision/
Universidad Politécnica de Madrid,http://www.upm.es,Madrid,Pública,
Universidad Pontificia Comillas,https://www.comillas.edu/,Madrid,Privada,https://www.comillas.edu/trabaja-con-nosotros/#trabaja
Universidad Rey Juan Carlos,http://www.urjc.es,Madrid,Pública,http://www.urjc.es/estudiar-en-la-urjc/admision
Universidad de Navarra,http://www.unav.es,Pamplona,Privada,https://www.unav.edu/trabaja-con-nosotros
Universidad Pública de Navarra,http://www.unavarra.es,Pamplona,Pública,http://www.unavarra.es/sites/la-upna/plan-estrategico.html
Universidad de Alicante,http://www.ua.es,Alicante,Pública,https://web.ua.es/es/masteres/historia-del-mundo-mediterraneo-y-sus-regiones-de-la-prehistoria-a-la-edad-media/
Universidad Miguel Hernández de Elche,http://www.umh.es,Alicante,Pública,https://planestrategico.umh.es/
Universitat Jaume I,http://www.uji.es,Castellón,Pública,https://www.uji.es/mapa/uji/coneix-uji/
Universidad Católica de Valencia San Vicente Mártir,http://www.ucv.es,Valencia,Privada,https://www.ucv.es/trabaja-con-nosotros
Universidad CEU Cardenal Herrera,https://www.uchceu.es,Valencia,Privada,https://www.uchceu.es/conocenos/mision-vision-valores
Universitat Politècnica de València,http://www.upv.es,Valencia,Pública,https://www.upv.es/admision/admision-doctorado/index-es.html
Universitat de València,https://www.uv.es,Valencia,Pública,https://www.uv.es/uvweb/universitat/ca/universitat/historia-uv-1285853103887.html
Universidad Internacional de Valencia,https://www.universidadviu.com/es/,Valencia,Privada,https://www.universidadviu.com/es/trabaja-con-nosotros
Universidad internacional Menéndez Pelayo,http://www.uimp.es,Madrid,Pública,http://www.uimp.es/institucional/historia.html
Universidad Nacional de Educación a Distancia,http://www.uned.es,Madrid,Pública,https://app.uned.es/portal/admision-matricula-por-internet
Universidad de Extremadura,https://www.unex.es,Badajoz,Pública,https://www.unex.es/conoce-la-uex/plan-estrategico-de-la-uex/
Universidade da Coruña,http://www.udc.es,A Coruña,Pública,https://www.udc.es/es/sobreUDC/mision/
Universidade de Santiago de Compostela,http://www.usc.es,A Coruña,Pública,https://www.usc.gal/gl/usc/historia-patrimonio
Universidade de Vigo,http://www.uvigo.es,Vigo,Pública,https://www.uvigo.gal/es/universidad/conocenos/valores
Universitat de les Illes Balears,http://www.uib.es,Palma de Mallorca,Pública,https://slg.uib.es/w/2.-missio-visio-i-valors
Universidad Internacional de La Rioja,http://www.unir.net,La Rioja,Privada,https://www.unir.net/universidad-online/mision-valores/
Universidad de La Rioja,https://www.unirioja.es,La Rioja,Pública,https://www.unirioja.es/administracion-y-servicios/area-academica-y-de-coordinacion/comisiones/
Universidad de Deusto,http://www.deusto.es,Bizkaia,Privada,https://www.deusto.es/es/inicio/vive/informacion-academica/modulo-de-formacion-humana-en-valores
Euskal Herriko Unibertsitatea,http://www.ehu.es,Bizkaia,Pública,https://www.euskampus.eus/es/campus/misiones/mision-onko
Mondragon Unibertsitatea,http://www.mondragon.edu,Gipuzkoa,Privada,http://www.mondragon.edu/es/informacion/admisiones
Universidad Católica San Antonio de Murcia,http://www.ucam.edu,Murcia,Privada,https://www.ucam.edu/admision
