candidate_id,cluster_skills_only,cluster_enriquecida,cluster_tfidf_text,cluster_principal
1,0,1,6,6
2,2,1,4,4
3,3,1,5,5
4,2,0,5,5
5,3,0,3,3
6,2,0,4,4
7,0,1,5,5
8,3,0,6,6
9,2,1,4,4
10,3,1,6,6
11,3,1,5,5
12,2,1,4,4
13,1,1,4,4
14,1,1,4,4
15,0,1,4,4
16,0,1,5,5
17,1,0,4,4
18,3,0,6,6
19,1,1,5,5
20,3,1,4,4
21,3,0,1,1
22,3,1,1,1
23,1,0,1,1
24,2,0,4,4
25,3,1,6,6
26,2,0,3,3
27,2,1,6,6
28,2,1,3,3
29,0,1,1,1
30,1,1,0,0
31,1,1,3,3
32,1,1,5,5
33,0,1,0,0
34,3,0,4,4
35,0,1,5,5
36,1,0,3,3
37,2,0,4,4
38,0,1,6,6
39,2,0,3,3
40,1,0,2,2
41,2,0,4,4
42,1,0,4,4
43,0,0,5,5
44,1,1,4,4
45,3,1,4,4
46,1,1,2,2
47,1,1,4,4
48,2,0,5,5
49,0,1,4,4
50,0,1,1,1
51,0,0,4,4
52,1,0,3,3
53,0,0,3,3
54,0,1,1,1
55,2,1,5,5
56,1,1,5,5
57,2,0,1,1
58,1,1,3,3
59,1,1,2,2
60,0,1,0,0
61,1,1,0,0
62,1,1,0,0
63,2,0,4,4
64,1,0,3,3
65,0,0,6,6
66,1,1,6,6
67,3,0,6,6
68,3,1,6,6
69,1,1,4,4
70,1,1,0,0
71,1,1,0,0
72,2,0,3,3
73,2,1,1,1
74,1,1,1,1
75,0,1,4,4
76,3,1,3,3
77,3,1,1,1
78,2,1,4,4
79,2,0,2,2
80,1,1,4,4
81,2,0,5,5
82,2,0,1,1
83,2,0,6,6
84,2,1,6,6
85,3,1,6,6
86,0,1,5,5
87,2,0,4,4
88,3,1,2,2
89,1,0,4,4
90,1,1,0,0
91,3,1,3,3
92,3,1,4,4
93,1,1,4,4
94,2,0,4,4
95,2,0,0,0
96,2,0,5,5
97,2,0,4,4
98,0,1,6,6
99,3,0,6,6
100,2,0,1,1
