job_id,skill,importance,skill_norm
0,Python,must,python
0,BI tools,must,bi tools
0,market research,nice,market research
0,digital transformation,nice,digital transformation
0,technology trend analysis,nice,technology trend analysis
0,Python,tech_stack,python
0,AWS,tech_stack,aws
0,Google Cloud,tech_stack,google cloud
0,Azure,tech_stack,azure
0,analytical thinking,soft_skill,analytical thinking
0,attention to detail,soft_skill,attention to detail
0,curiosity,soft_skill,curiosity
0,collaboration,soft_skill,collaboration
0,communication,soft_skill,communication
0,flexibility,soft_skill,flexibility
0,flexible hours,benefit,flexible hours
0,teleworking / hybrid model,benefit,teleworking / hybrid model
0,internal training,benefit,internal training
0,access to learning platforms,benefit,access to learning platforms
0,cloud certifications support,benefit,cloud certifications support
0,mentorship,benefit,mentorship
1,Python,must,python
1,BI tools,must,bi tools
1,market research,nice,market research
1,digital transformation,nice,digital transformation
1,technology trend analysis,nice,technology trend analysis
1,AWS,nice,aws
1,Google Cloud,nice,google cloud
1,Azure,nice,azure
1,Python,tech_stack,python
1,AWS,tech_stack,aws
1,Google Cloud,tech_stack,google cloud
1,Azure,tech_stack,azure
1,analytical skills,soft_skill,analytical skills
1,attention to detail,soft_skill,attention to detail
1,curiosity,soft_skill,curiosity
1,collaboration,soft_skill,collaboration
1,communication,soft_skill,communication
1,flexible hours,benefit,flexible hours
1,remote work,benefit,remote work
1,training programs,benefit,training programs
1,certification support,benefit,certification support
1,mentor assigned,benefit,mentor assigned
2,Python,must,python
2,BI tools,must,bi tools
2,Investigación de mercado,nice,investigación de mercado
2,Transformación digital,nice,transformación digital
2,Análisis de tendencias tecnológicas,nice,análisis de tendencias tecnológicas
2,"Interés por Digital, Data e IA",nice,"interés por digital, data e ia"
2,Python,tech_stack,python
2,AWS,tech_stack,aws
2,Google Cloud,tech_stack,google cloud
2,Azure,tech_stack,azure
2,Análisis,soft_skill,análisis
2,Atención al detalle,soft_skill,atención al detalle
2,Curiosidad,soft_skill,curiosidad
2,Trabajo en equipo,soft_skill,trabajo en equipo
2,Comunicación,soft_skill,comunicación
2,Flexibilidad horaria,benefit,flexibilidad horaria
2,Teletrabajo,benefit,teletrabajo
2,Formación interna,benefit,formación interna
2,Acceso a plataformas de aprendizaje,benefit,acceso a plataformas de aprendizaje
2,Horas dedicadas a certificaciones cloud,benefit,horas dedicadas a certificaciones cloud
2,Mentoría,benefit,mentoría
2,Track formativo,benefit,track formativo
3,Python (básico),must,python (básico)
3,Herramientas de visualización (BI),must,herramientas de visualización (bi)
3,Análisis de datos,must,análisis de datos
3,Atención al detalle,must,atención al detalle
3,Curiosidad,must,curiosidad
3,Trabajo colaborativo,must,trabajo colaborativo
3,Investigación de mercado,nice,investigación de mercado
3,Transformación digital,nice,transformación digital
3,Análisis de tendencias tecnológicas,nice,análisis de tendencias tecnológicas
3,Python,tech_stack,python
3,AWS,tech_stack,aws
3,Google Cloud,tech_stack,google cloud
3,Azure,tech_stack,azure
3,Capacidad de análisis,soft_skill,capacidad de análisis
3,Atención al detalle,soft_skill,atención al detalle
3,Mentalidad curiosa,soft_skill,mentalidad curiosa
