matchkey_skill_norm,example_original,freq_candidates,freq_jobs,freq_total,source,match_type,esco_uri,esco_preferred_label,similarity,best_candidate_below_threshold
python,Python,39,232,271,both,contains,http://data.europa.eu/esco/skill/ccd0a1d9-afda-43d9-b901-96344886e14d,Python (computer programming),0.3333,
comunicacion,Comunicación,42,66,108,both,none,,,0.4589,communication
trabajo en equipo,Trabajo en equipo,37,54,91,both,none,,,0.2813,use equine dental equipment
sql,SQL,42,49,91,both,exact,http://data.europa.eu/esco/skill/598de5b0-5b58-4ea7-8058-a4bc4d18c742,SQL,1.0,
docker,Docker,39,41,80,both,none,,,0.3984,allocate locker space
postgresql,PostgreSQL,0,77,77,job,exact,http://data.europa.eu/esco/skill/a8d07b5a-c1a1-42c6-9d53-db9c7a2ca996,PostgreSQL,1.0,
machine learning,Machine Learning,44,32,76,both,contains,http://data.europa.eu/esco/skill/8369c2d6-c100-4cf6-bd83-9668d8678433,utilise machine learning,0.6667,
node.js,Node.js,0,76,76,job,none,,,0.2167,apply electrolytes to cathodes and anodes
mysql,MySQL,0,75,75,job,exact,http://data.europa.eu/esco/skill/4da171e5-779c-4983-a76f-91c16751e99f,MySQL,1.0,
git,Git,41,33,74,both,none,,,0.1425,edit digital moving images
proactividad,Proactividad,42,32,74,both,none,,,0.5545,think proactively
twilio,Twilio,0,71,71,job,none,,,0.2768,tend twisting machines
javascript,JavaScript,0,71,71,job,exact,http://data.europa.eu/esco/skill/3cd569a2-4f88-4c1e-9995-8dce8c5e51a7,JavaScript,1.0,
airtable,Airtable,0,71,71,job,none,,,0.3811,manage stable
scikit-learn,Scikit-learn,39,29,68,both,none,,,0.4001,e-learning
n8n,n8n,0,67,67,job,none,,,0.0,3D body scanning technologies
aws,AWS,0,67,67,job,none,,,0.3057,minerals laws
elevenlabs,ElevenLabs,0,65,65,job,none,,,0.3931,cut slabs
asterisk,Asterisk,0,62,62,job,none,,,0.3133,risk management
atencion al detalle,Atención al detalle,46,16,62,both,none,,,0.2381,attend to detail
zapier,Zapier,0,61,61,job,none,,,0.2811,OWASP ZAP
liderazgo,Liderazgo,41,20,61,both,none,,,0.2468,demonstrate consideration
azure,Azure,0,61,61,job,none,,,0.175,ensure correct gas pressure
orientacion a resultados,Orientación a resultados,40,20,60,both,none,,,0.4004,ensure client orientation
collaboration,collaboration,0,56,56,job,none,,,0.6195,collaborate with engineers
resolucion de problemas,Resolución de problemas,46,10,56,both,none,,,0.3819,foot problems
whisper,Whisper,0,55,55,job,none,,,0.4319,types of whisks
r,R,34,16,50,both,exact,http://data.europa.eu/esco/skill/51586df8-1c46-4b47-8583-773cb63bf00b,R,1.0,
adaptabilidad,Adaptabilidad,46,3,49,both,none,,,0.3836,adapt sets
airflow,Airflow,43,6,49,both,none,,,0.4293,control air flow
make,Make,0,49,49,job,contains,http://data.europa.eu/esco/skill/ee075bc7-ac7f-4d75-a8c1-da502e0954fb,make mosaic,0.5,
power bi,Power BI,36,13,49,both,none,,,0.623,use power tools
integromat,Integromat,0,48,48,job,none,,,0.3827,integrate ICT data
tableau,Tableau,43,5,48,both,none,,,0.4928,operate table saw
numpy,Numpy,46,2,48,both,none,,,0.3005,numerology
pensamiento critico,Pensamiento crítico,46,0,46,candidate,none,,,0.3043,source criticism
tensorflow,TensorFlow,0,45,45,job,none,,,0.3678,sensors
capacidad analitica,Capacidad analítica,40,4,44,both,none,,,0.3961,analyse staff capacity
communication,communication,0,44,44,job,exact,http://data.europa.eu/esco/skill/15d76317-c71a-4fa2-aadc-2ecc34e627b7,communication,1.0,
openai,OpenAI,0,43,43,job,none,,,0.2994,tend open pans
pytorch,PyTorch,0,43,43,job,none,,,0.3238,operate plasma cutting torch
data warehouse,Data Warehouse,42,1,43,both,exact,http://data.europa.eu/esco/skill/3ec2e4d6-7000-4905-bf1a-c5b1679416de,data warehouse,1.0,
spark,Spark,40,3,43,both,exact,http://data.europa.eu/esco/skill/af7ae54f-4649-4c16-87c7-59ba41d4d57f,SPARK,1.0,
excel avanzado,Excel avanzado,40,2,42,both,none,,,0.3125,demand excellence from performers
english,English,0,41,41,job,exact,http://data.europa.eu/esco/skill/6d3edede-8951-4621-a835-e04323300fa0,English,1.0,
etl,ETL,33,7,40,both,none,,,0.1744,act discreetly
curiosity,curiosity,0,39,39,job,contains,http://data.europa.eu/esco/skill/429062f1-a958-43ea-83dd-4e1af078c156,demonstrate curiosity,0.5,
pandas,Pandas,34,4,38,both,none,,,0.1713,tend open pans
rest apis,REST APIs,0,38,38,job,none,,,0.2394,perform forest analysis
modelado de datos,Modelado de datos,38,0,38,candidate,none,,,0.4213,data models
teamwork,Teamwork,0,37,37,job,contains,http://data.europa.eu/esco/skill/75e48971-3242-4ea5-a1ba-4deec48ad41c,plan teamwork,0.5,
gestion del tiempo,Gestión del tiempo,34,2,36,both,none,,,0.2891,hand gestures
openai api,OpenAI API,0,35,35,job,none,,,0.256,tend open pans
azure data factory,Azure Data Factory,32,2,34,both,none,,,0.5734,manage factory operations
estadistica,Estadística,33,0,33,candidate,none,,,0.2706,inspect sport stadium
crm integration,CRM integration,0,32,32,job,fuzzy,http://data.europa.eu/esco/skill/6fa1c2c0-a012-4ca0-9642-e01569ba322c,ICT system integration,0.747,
storytelling con datos,Storytelling con datos,32,0,32,candidate,none,,,0.3824,tell a story
langchain,LangChain,0,31,31,job,none,,,0.5229,types of chain
google bigquery,Google BigQuery,31,0,31,candidate,none,,,0.633,use Google Search
problem solving,Problem solving,0,28,28,job,contains,http://data.europa.eu/esco/skill/30d49832-84bd-4d97-9441-aef97a76a8d0,apply problem solving in social service,0.3333,
java,Java,0,27,27,job,contains,http://data.europa.eu/esco/skill/19a8293b-8e95-4de3-983f-77484079c389,Java (computer programming),0.3333,
