job_id,skill,importance
0,Python,must
0,BI tools,must
0,market research,nice
0,digital transformation,nice
0,technology trend analysis,nice
0,Python,tech_stack
0,AWS,tech_stack
0,Google Cloud,tech_stack
0,Azure,tech_stack
0,analytical thinking,soft_skill
0,attention to detail,soft_skill
0,curiosity,soft_skill
0,collaboration,soft_skill
0,communication,soft_skill
0,flexibility,soft_skill
0,flexible hours,benefit
0,teleworking / hybrid model,benefit
0,internal training,benefit
0,access to learning platforms,benefit
0,cloud certifications support,benefit
0,mentorship,benefit
1,Python,must
1,BI tools,must
1,market research,nice
1,digital transformation,nice
1,technology trend analysis,nice
1,AWS,nice
1,Google Cloud,nice
1,Azure,nice
1,Python,tech_stack
1,AWS,tech_stack
1,Google Cloud,tech_stack
1,Azure,tech_stack
1,analytical skills,soft_skill
1,attention to detail,soft_skill
1,curiosity,soft_skill
1,collaboration,soft_skill
1,communication,soft_skill
1,flexible hours,benefit
1,remote work,benefit
1,training programs,benefit
1,certification support,benefit
1,mentor assigned,benefit
2,Python,must
2,BI tools,must
2,Investigación de mercado,nice
2,Transformación digital,nice
2,Análisis de tendencias tecnológicas,nice
2,"Interés por Digital, Data e IA",nice
2,Python,tech_stack
2,AWS,tech_stack
2,Google Cloud,tech_stack
2,Azure,tech_stack
2,Análisis,soft_skill
2,Atención al detalle,soft_skill
2,Curiosidad,soft_skill
2,Trabajo en equipo,soft_skill
2,Comunicación,soft_skill
2,Flexibilidad horaria,benefit
2,Teletrabajo,benefit
2,Formación interna,benefit
2,Acceso a plataformas de aprendizaje,benefit
2,Horas dedicadas a certificaciones cloud,benefit
2,Mentoría,benefit
2,Track formativo,benefit
3,Python (básico),must
3,Herramientas de visualización (BI),must
3,Análisis de datos,must
3,Atención al detalle,must
3,Curiosidad,must
3,Trabajo colaborativo,must
3,Investigación de mercado,nice
3,Transformación digital,nice
3,Análisis de tendencias tecnológicas,nice
3,Python,tech_stack
3,AWS,tech_stack
3,Google Cloud,tech_stack
3,Azure,tech_stack
3,Capacidad de análisis,soft_skill
3,Atención al detalle,soft_skill
3,Mentalidad curiosa,soft_skill
3,Trabajo en equipo,soft_skill
3,Flexibilidad horaria,benefit
3,Teletrabajo,benefit
3,Mentoría,benefit
3,Formación interna,benefit
3,Acceso a plataformas de aprendizaje,benefit
3,Horas laborales para certificaciones,benefit
4,Python,must
4,BI tools,must
4,Análisis,must
4,Atención al detalle,must
4,Colaboración,must
4,Investigación de mercado,nice
4,Transformación digital,nice
4,Análisis de tendencias tecnológicas,nice
4,Python,tech_stack
4,Comunicación,soft_skill
4,Curiosidad,soft_skill
4,Trabajo en equipo,soft_skill
4,Mentoría,soft_skill
4,Adaptabilidad,soft_skill
4,Flexibilidad horaria,benefit
4,Teletrabajo,benefit
4,Mentor asignado,benefit
4,Formación interna,benefit
4,"Certificaciones cloud (AWS, Google Cloud, Azure)",benefit
4,Publicación de contenidos en hubs y blog,benefit
5,Python,must
5,BI tools,must
5,market research,nice
